Date;CowID;LamenessSchema;Drug;LamenessDays
26.08.2019;RU3101090125369;Нет схемы;ЯЗВАР.4Q;0
26.08.2019;RU3101090118411;Нет схемы;С3.41.4Q;0
26.08.2019;RU3101150108230;Нет схемы;КЛУБН.4Q;0
26.08.2019;RU3101090126106;Нет схемы;ЯЗВАР.23;0
26.08.2019;RU3101090118773;Нет схемы;ЯЗВАР.3Q;0
26.08.2019;RU3101090102497;Нет схемы;ЯЗВАР.4Q;0
27.08.2019;RU3101090118773;Нет схемы;ЯЗВАР.3Q;0
27.08.2019;NL0718460462;Нет схемы;ЯЗВАР.4Q;0
27.08.2019;RU3110204120633;Нет схемы;ЯЗВАР.3Q;0
27.08.2019;RU3101090127719;Нет схемы;ЯЗВ+К.4Q;0
27.08.2019;NL0928618459;Нет схемы;СХ3.5.3Q;0
27.08.2019;RU3101090118411;Нет схемы;ЯЗВАР.3Q;0
28.08.2019;RU3101090126757;Нет схемы;ЯЗВАР.4Q;0
28.08.2019;RU3101090118500;Нет схемы;ЯЗВАР.4Q;0
28.08.2019;RU3101090116668;Нет схемы;ЯЗВАР.3Q;0
28.08.2019;RU3101090117056;Нет схемы;ЯЗВАР.3Q;0
28.08.2019;RU3101090118348;Нет схемы;ЯЗВАР.2Q;0
29.08.2019;RU3110204130323;Нет схемы;ЯЗВАР.4Q;0
29.08.2019;NL0878285172;Нет схемы;СХ3.5.4Q;0
30.08.2019;DE0359060571;Нет схемы;ЯЗВАР.3Q;0
30.08.2019;RU3110204122575;Нет схемы;С3.41.1Q;0
30.08.2019;RU3101090124300;Нет схемы;ЯЗВАР.3Q;0
30.08.2019;RU3101090118773;Нет схемы;ЯЗВАР.3Q;0
31.08.2019;RU3101150109842;Нет схемы;С3.41.1Q;0
31.08.2019;NL0882046994;Нет схемы;СХ3.5.3Q;0
31.08.2019;RU3101150166170;Нет схемы;C3.41.3Q;0
01.09.2019;RU3111005046302;Нет схемы;C3.41.2Q;0
01.09.2019;RU3101090125757;Нет схемы;ЯЗВАР34Q;0
02.09.2019;RU3101090126757;Нет схемы;ЯЗВАР.4Q;0
02.09.2019;RU3110204012826;Нет схемы;ЯЗВАР.4Q;0
02.09.2019;RU3110204130323;Нет схемы;ЯЗВАР.4Q;0
04.09.2019;RU3101090118411;Нет схемы;С3.41.3Q;0
04.09.2019;RU3101090117056;Нет схемы;ЯЗВАР.3Q;0
04.09.2019;RU3101090126694;Нет схемы;ЯЗВ+К.3Q;0
04.09.2019;RU3101090118348;Нет схемы;ЯЗВАР.2Q;0
04.09.2019;RU3101090126106;Нет схемы;ЯЗВАР.1Q;0
04.09.2019;RU3101090116668;Нет схемы;ЯЗВАР.3Q;0
04.09.2019;RU3110204130223;Нет схемы;ЯЗВАР.3Q;0
04.09.2019;RU3101150108515;Нет схемы;СХ3.5.3Q;0
04.09.2019;NL0928618459;Нет схемы;СХ3.5.3Q;0
05.09.2019;NL0752846978;Нет схемы;ЯЗВАР.3Q;0
05.09.2019;RU3111005007154;Нет схемы;ЯЗВАР.4Q;0
05.09.2019;RU3110204130223;Нет схемы;С3.41.4Q;0
05.09.2019;RU3101150166170;Нет схемы;C3.41.3Q;0
06.09.2019;NL0843416785;Нет схемы;СХ3.5.4Q;0
06.09.2019;RU3101090126757;Нет схемы;ЯЗВАР.4Q;0
06.09.2019;NL0878285172;Нет схемы;СХ3.5.4Q;0
06.09.2019;RU3110204110017;Нет схемы;ЯЗВ+К.2Q;0
06.09.2019;NL0718460462;Нет схемы;ЯЗВАР.4Q;0
06.09.2019;RU3110204012826;Нет схемы;ЯЗВАР.4Q;0
07.09.2019;RU3101090128807;Нет схемы;КОНЬЮКТ;0
07.09.2019;RU3101090124300;Нет схемы;ЯЗВАР.3Q;0
08.09.2019;RU3111005046302;Нет схемы;C3.41.2Q;0
08.09.2019;NL0882046994;Нет схемы;СХ3.5.3Q;0
09.09.2019;RU3110204130223;Нет схемы;ЯЗВАР.3Q;0
09.09.2019;RU3101090118411;Нет схемы;С3.41.3Q;0
09.09.2019;RU3101090127623;Нет схемы;ЯЗВАР.3Q;0
09.09.2019;NL0869187535;Нет схемы;СХ3.5.3Q;0
09.09.2019;DE0358644421;Нет схемы;ЯЗВАР.3Q;0
09.09.2019;RU3101090116881;Нет схемы;ЯЗВАР.3Q;0
10.09.2019;RU3110204130323;Нет схемы;ЯЗВАР.4Q;0
10.09.2019;RU3101150109687;Нет схемы;ЯЗВАР.2Q;0
10.09.2019;RU3110204120458;Нет схемы;ЯЗВАР.2Q;0
10.09.2019;RU3101090127719;Нет схемы;ЯЗВАР.4Q;0
11.09.2019;RU3101150109562;Нет схемы;ЯЗВАР.3Q;0
11.09.2019;RU3110204110017;Нет схемы;ЯЗВАР.2Q;0
11.09.2019;RU3101090117056;Нет схемы;ЯЗВАР.3Q;0
11.09.2019;NL0878285172;Нет схемы;СХ3.5.4Q;0
11.09.2019;RU3101090124724;Нет схемы;ЯЗВАР.4Q;0
12.09.2019;RU3110204012826;Нет схемы;ЯЗВАР.4Q;0
12.09.2019;RU3101090127064;Нет схемы;ЯЗВАР.1Q;0
13.09.2019;RU3101090115930;Нет схемы;ЯЗВАР34Q;0
13.09.2019;RU3101090127698;Нет схемы;С3.41.1Q;0
13.09.2019;RU3101090118987;Нет схемы;ЯЗВАР.3Q;0
13.09.2019;RU3110204110017;Нет схемы;С3.41.2Q;0
13.09.2019;RU3110204130223;Нет схемы;ЯЗВАР.3Q;0
13.09.2019;RU3110204120458;Нет схемы;С3.41.2Q;0
14.09.2019;NL0843416785;Нет схемы;СХ3.5.4Q;0
14.09.2019;RU3101150108515;Нет схемы;С3.41.3Q;0
14.09.2019;RU3101090118411;Нет схемы;С3.41.3Q;0
15.09.2019;RU3101090124300;Нет схемы;ЯЗВАР.3Q;0
15.09.2019;RU3111005046302;Нет схемы;C3.41.2Q;0
16.09.2019;NL0882046994;Нет схемы;СХ3.5.3Q;0
16.09.2019;RU3101150109687;Нет схемы;С3.41.2Q;0
16.09.2019;RU3101090127064;Нет схемы;ЯЗВАР.1Q;0
16.09.2019;RU3101090116828;Нет схемы;КЛУБН.34;0
17.09.2019;RU3101090127698;Нет схемы;ЯЗВАР.3Q;0
17.09.2019;RU3101150109687;Нет схемы;ЯЗВАР.2Q;0
17.09.2019;RU3101090126853;Нет схемы;ЯЗВ+К.4Q;0
17.09.2019;NL0869187535;Нет схемы;C3.41.3Q;0
18.09.2019;RU3101090125202;Нет схемы;ЯЗВ+К.4Q;0
18.09.2019;RU3101090116881;Нет схемы;ЯЗВАР.3Q;0
18.09.2019;RU3101150108583;Нет схемы;ЯЗВ+К.4Q;0
18.09.2019;NL0878285172;Нет схемы;СХ3.5.4Q;0
18.09.2019;RU3101090118987;Нет схемы;ЯЗВАР.3Q;0
18.09.2019;RU3101090127698;Нет схемы;С3.42.1Q;0
18.09.2019;RU3101090117056;Нет схемы;ЯЗВАР.3Q;0
18.09.2019;DE0358644421;Нет схемы;ЯЗВАР.3Q;0
19.09.2019;RU3101090127462;Нет схемы;ЯЗВАР.3Q;0
19.09.2019;RU3101090126694;Нет схемы;ЯЗВАР.3Q;0
19.09.2019;RU3101150108515;Нет схемы;С3.41.3Q;0
19.09.2019;RU3101090118411;Нет схемы;С3.41.3Q;0
20.09.2019;RU3101090118411;Нет схемы;ЯЗВАР.3Q;0
20.09.2019;RU3110204110017;Нет схемы;ЯЗВАР.2Q;0
20.09.2019;RU3110204120458;Нет схемы;ЯЗВАР.2Q;0
21.09.2019;RU3101150109687;Нет схемы;С3.41.2Q;0
21.09.2019;RU3101090115880;Нет схемы;ЯЗВАР.4Q;0
21.09.2019;RU3101090109824;Нет схемы;ЯЗВАР.1Q;0
21.09.2019;RU3101090125202;Нет схемы;ЯЗВАР.4Q;0
21.09.2019;RU3110204110017;Нет схемы;С3.41.2Q;0
22.09.2019;NL0843416785;Нет схемы;C3.41.4Q;0
22.09.2019;RU3101090124724;Нет схемы;ЯЗВАР.4Q;0
22.09.2019;RU3101090102502;Нет схемы;ЯЗВАР.3Q;0
22.09.2019;RU3101090127698;Нет схемы;ЯЗВАР.1Q;0
22.09.2019;RU3101090125202;Нет схемы;ЯЗВАР.4Q;0
22.09.2019;RU3101090127462;Нет схемы;ЯЗВАР.3Q;0
22.09.2019;RU3101090126694;Нет схемы;ЯЗВАР.3Q;0
23.09.2019;RU3101150108583;Нет схемы;СХ3.5.4Q;0
23.09.2019;RU3101090126500;Нет схемы;ЯЗВ+К.1Q;0
23.09.2019;NL0881488506;Нет схемы;ЯЗВАР.3Q;0
23.09.2019;RU3101090127698;Нет схемы;ЯЗВАР.3Q;0
23.09.2019;RU3110204121251;Нет схемы;ЯЗВАР.3Q;0
23.09.2019;RU3110204130223;Нет схемы;ЯЗВАР.3Q;0
24.09.2019;RU3101090115930;Нет схемы;ЯЗВАР.34;0
24.09.2019;RU3101090124447;Нет схемы;ЯЗВАР.3Q;0
24.09.2019;RU3101090127958;Нет схемы;КЛУБН.4Q;0
24.09.2019;NL0618750720;Нет схемы;ЯЗВАР.4Q;0
24.09.2019;RU3101150108515;Нет схемы;С3.41.3Q;0
24.09.2019;NL0625576892;Нет схемы;ЯЗВАР.3Q;0
24.09.2019;RU3101090126853;Нет схемы;ЯЗВАР.4Q;0
24.09.2019;NL0656980961;Нет схемы;ЯЗВАР.4Q;0
24.09.2019;RU3110204121993;Нет схемы;С3.41.3Q;0
24.09.2019;RU3101090118411;Нет схемы;С3.41.3Q;0
25.09.2019;RU3101150108515;Нет схемы;ЯЗВАР.3Q;0
25.09.2019;RU3110204120458;Нет схемы;ЯЗВАР.2Q;0
25.09.2019;NL0869187535;Нет схемы;C3.42.3Q;0
25.09.2019;RU3110204110017;Нет схемы;ЯЗВАР.2Q;0
25.09.2019;RU3101090118987;Нет схемы;ЯЗВАР.3Q;0
25.09.2019;NL0881488506;Нет схемы;ЯЗВАР.3Q;0
25.09.2019;RU3101090124300;Нет схемы;ЯЗВАР.3Q;0
26.09.2019;RU3111005007065;Нет схемы;ЯЗВАР.1Q;0
26.09.2019;RU3110204012826;Нет схемы;ЯЗВАР.4Q;0
26.09.2019;NL0878285172;Нет схемы;СХ3.5.4Q;0
27.09.2019;RU3101090126853;Нет схемы;ЯЗВАР.4Q;0
27.09.2019;RU3101090128027;Нет схемы;ЯЗВ+К.4Q;0
27.09.2019;RU3110204121217;Нет схемы;ЯЗВАР.1Q;0
28.09.2019;RU3101150108583;Нет схемы;СХ3.5.4Q;0
28.09.2019;RU3110204110017;Нет схемы;С3.41.2Q;0
28.09.2019;RU3101090118657;Нет схемы;ЯЗВАР.4Q;0
28.09.2019;RU3101090116828;Нет схемы;ЯЗВАР34Q;0
29.09.2019;RU3101090128027;Нет схемы;ЯЗВАР.4Q;0
29.09.2019;RU3101090117056;Нет схемы;ЯЗВАР.3Q;0
29.09.2019;RU3101090127698;Нет схемы;ЯЗВАР.3Q;0
29.09.2019;RU3101090126500;Нет схемы;ЯЗВАР.1Q;0
29.09.2019;RU3101090127064;Нет схемы;ЯЗВАР.1Q;0
30.09.2019;RU3101090116988;Нет схемы;КЛУБН.4Q;0
30.09.2019;RU3101090118853;Нет схемы;ЯЗВАР.1Q;0
30.09.2019;RU3111005003615;Нет схемы;ЯЗВ+К.2Q;0
01.10.2019;RU3110204120458;Нет схемы;ЯЗВАР.2Q;0
01.10.2019;RU3110204130223;Нет схемы;ЯЗВАР.3Q;0
01.10.2019;RU3101090126853;Нет схемы;ЯЗВАР.4Q;0
01.10.2019;RU3101090116177;Нет схемы;ЯЗВАР.4Q;0
01.10.2019;RU3110204121251;Нет схемы;ЯЗВАР.2Q;0
01.10.2019;RU3101150108515;Нет схемы;С3.42.3Q;0
01.10.2019;NL0718460462;Нет схемы;ЯЗВАР.4Q;0
01.10.2019;RU3101090115880;Нет схемы;ЯЗВАР.4Q;0
02.10.2019;RU3101090102502;Нет схемы;ЯЗВАР.3Q;0
02.10.2019;RU3101090115930;Нет схемы;ЯЗВАР34Q;0
02.10.2019;RU3101090118987;Нет схемы;ЯЗВАР.3Q;0
03.10.2019;RU3101150108583;Нет схемы;СХ3.5.4Q;0
03.10.2019;RU3101090124434;Нет схемы;ЯЗВАР.4Q;0
03.10.2019;RU3101150109562;Нет схемы;СХ3.5.3Q;0
03.10.2019;NL0878285172;Нет схемы;СХ3.5.4Q;0
03.10.2019;RU3101090118657;Нет схемы;ЯЗВАР.4Q;0
03.10.2019;DE0358643629;Нет схемы;ЯЗВАР14Q;0
04.10.2019;RU3101090125849;Нет схемы;ЯЗВАР.4Q;0
04.10.2019;RU3101090127698;Нет схемы;ЯЗВАР.3Q;0
04.10.2019;RU3110204110017;Нет схемы;ЯЗВАР.2Q;0
04.10.2019;RU3101150140117;Нет схемы;КОНЬЮКТ;0
05.10.2019;RU3101150108515;Нет схемы;ЯЗВАР34Q;0
05.10.2019;RU3101090116828;Нет схемы;ЯЗВАР.3Q;0
05.10.2019;NL0719720211;Нет схемы;C3.41.2Q;0
05.10.2019;NL0869187535;Нет схемы;C3.42.3Q;0
05.10.2019;RU3110204140939;Нет схемы;С3.41.1Q;0
05.10.2019;RU3101150173961;Нет схемы;ЯЗВАР.3Q;0
06.10.2019;US5347882698;Нет схемы;ЯЗВАР.4Q;0
06.10.2019;RU3101090124300;Нет схемы;ЯЗВАР.3Q;0
06.10.2019;RU3101090117056;Нет схемы;ЯЗВАР.3Q;0
07.10.2019;RU3110204110017;Нет схемы;ЯЗВАР.2Q;0
07.10.2019;RU3111005003615;Нет схемы;ЯЗВ+К.2Q;0
08.10.2019;RU3101150109562;Нет схемы;ЯЗВАР.3Q;0
08.10.2019;RU3101090102525;Нет схемы;ЯЗВАР.3Q;0
08.10.2019;RU3101090116392;Нет схемы;КЛУБН.3Q;0
08.10.2019;RU3101090117675;Нет схемы;ЯЗВАР.3Q;0
08.10.2019;RU3101090102502;Нет схемы;ЯЗВАР.3Q;0
08.10.2019;RU3101090106312;Нет схемы;КЛУБН.4Q;0
08.10.2019;RU3110204130369;Нет схемы;ЯЗВАР.3Q;0
08.10.2019;RU3101150108583;Нет схемы;ЯЗВАР.4Q;0
08.10.2019;NL0718460462;Нет схемы;ЯЗВАР.4Q;0
08.10.2019;RU3101090118853;Нет схемы;ЯЗВАР.1Q;0
08.10.2019;RU3101090118411;Нет схемы;ЯЗВАР.3Q;0
08.10.2019;RU3101090115880;Нет схемы;ЯЗВАР.4Q;0
08.10.2019;RU3110204012826;Нет схемы;ЯЗВАР.3Q;0
08.10.2019;RU3101090116177;Нет схемы;ЯЗВАР.4Q;0
08.10.2019;RU3111005007127;Нет схемы;ЯЗВАР.4Q;0
09.10.2019;RU3110204130572;Нет схемы;ЯЗВАР.4Q;0
09.10.2019;NL0922890020;Нет схемы;СХ3.5.4Q;0
09.10.2019;NL0644984641;Нет схемы;ЯЗВАР.3Q;0
09.10.2019;RU3101090115930;Нет схемы;ЯЗВАР34Q;0
10.10.2019;RU3101150108515;Нет схемы;С3.42.3Q;0
11.10.2019;RU3110204130369;Нет схемы;ЯЗВАР.3Q;0
11.10.2019;RU3111005017716;Нет схемы;ЯЗВАР.3Q;0
11.10.2019;NL0878285172;Нет схемы;СХ3.5.4Q;0
11.10.2019;RU3101090126853;Нет схемы;ЯЗВАР.4Q;0
11.10.2019;RU3110204120458;Нет схемы;ЯЗВ+К.2Q;0
11.10.2019;RU3110204012826;Нет схемы;ЯЗВАР.3Q;0
11.10.2019;RU3101090117056;Нет схемы;ЯЗВАР.3Q;0
11.10.2019;RU3101150106558;Нет схемы;С3.41.1Q;0
11.10.2019;RU3111005008968;Нет схемы;ЯЗВАР.4Q;0
11.10.2019;RU3110204130223;Нет схемы;ЯЗВАР.3Q;0
11.10.2019;RU3101090116342;Нет схемы;ЯЗВАР.3Q;0
12.10.2019;RU3101150108515;Нет схемы;ЯЗВАР.3Q;0
12.10.2019;RU3101150109562;Нет схемы;ЯЗВАР.3Q;0
12.10.2019;RU3101090115880;Нет схемы;ЯЗВАР.4Q;0
12.10.2019;RU3101090117675;Нет схемы;ЯЗВАР.3Q;0
12.10.2019;RU3101090119371;Нет схемы;КОНЬКТ;0
12.10.2019;RU3101090102525;Нет схемы;ЯЗВАР.3Q;0
12.10.2019;RU3101090116828;Нет схемы;ЯЗВАР34Q;0
12.10.2019;RU3101090116392;Нет схемы;ЯЗВАР.3Q;0
12.10.2019;RU3101090116177;Нет схемы;ЯЗВАР.4Q;0
12.10.2019;RU3101090124300;Нет схемы;ЯЗВАР.3Q;0
12.10.2019;NL0741884107;Нет схемы;СХ3.5.2Q;0
13.10.2019;RU3101090115930;Нет схемы;ЯЗВАР.3Q;0
13.10.2019;RU3101090128027;Нет схемы;ЯЗВАР.4Q;0
14.10.2019;RU3101051003423;Нет схемы;ЯЗВАР.4Q;0
14.10.2019;RU3101090116740;Нет схемы;ЯЗВАР.4Q;0
14.10.2019;RU3111005003615;Нет схемы;ЯЗВ+К.2Q;0
14.10.2019;DE0539225739;Нет схемы;КЛУБН.3Q;0
15.10.2019;RU3110204110017;Нет схемы;ЯЗВАР.2Q;0
15.10.2019;NL0662917540;Нет схемы;ЯЗВ+К.4Q;0
15.10.2019;NL0655144922;Нет схемы;ЯЗВАР.4Q;0
15.10.2019;RU3101090116342;Нет схемы;ЯЗВАР.3Q;0
15.10.2019;RU3101090127836;Нет схемы;ЯЗВАР34Q;0
15.10.2019;RU3101090126853;Нет схемы;ЯЗВАР.4Q;0
15.10.2019;RU3110204120458;Нет схемы;ЯЗВАР.2Q;0
15.10.2019;RU3110204130223;Нет схемы;ЯЗВАР.3Q;0
15.10.2019;NL0869187535;Нет схемы;C3.41.3Q;0
16.10.2019;RU3101090116740;Нет схемы;ЯЗВАР.4Q;0
16.10.2019;RU3101150106558;Нет схемы;С3.41.1Q;0
16.10.2019;RU3101090117056;Нет схемы;ЯЗВАР.3Q;0
16.10.2019;RU3110204120277;Нет схемы;ЯЗВАР.13;0
16.10.2019;RU3101090102525;Нет схемы;ЯЗВАР.3Q;0
17.10.2019;RU3101090116177;Нет схемы;ЯЗВАР.4Q;0
17.10.2019;RU3101090115880;Нет схемы;ЯЗВАР.4Q;0
17.10.2019;RU3101090118729;Нет схемы;ЯЗВАР.3Q;0
17.10.2019;RU3101090126072;Нет схемы;ЯЗВАР.4Q;0
17.10.2019;RU3101090117675;Нет схемы;ЯЗВАР.3Q;0
17.10.2019;RU3101100502618;Нет схемы;ЯЗВАР.3Q;0
17.10.2019;RU3101090115930;Нет схемы;ЯЗВАР34Q;0
18.10.2019;NL0722472604;Нет схемы;КЛУБН.4Q;0
18.10.2019;RU3101090126694;Нет схемы;ЯЗВАР.3Q;0
18.10.2019;RU3111005017716;Нет схемы;ЯЗВАР.3Q;0
18.10.2019;RU3110204130572;Нет схемы;ЯЗВАР.4Q;0
18.10.2019;RU3101090126853;Нет схемы;ЯЗВАР.4Q;0
18.10.2019;NL0664747925;Нет схемы;ЯЗВАР.2Q;0
19.10.2019;RU3101150108515;Нет схемы;С3.41.3Q;0
19.10.2019;RU3101090102525;Нет схемы;ЯЗВАР.3Q;0
19.10.2019;RU3101090127836;Нет схемы;ЯЗВАР34Q;0
19.10.2019;RU3101090119285;Нет схемы;ЯЗВАР.3Q;0
19.10.2019;RU3101090116342;Нет схемы;ЯЗВАР.3Q;0
19.10.2019;NL0878285172;Нет схемы;СХ3.5.4Q;0
19.10.2019;RU3101090117056;Нет схемы;ЯЗВАР.3Q;0
20.10.2019;RU3101090124300;Нет схемы;ЯЗВАР.3Q;0
20.10.2019;RU3101090117675;Нет схемы;ЯЗВАР.3Q;0
20.10.2019;RU3101090127515;Нет схемы;ЯЗВАР.3Q;0
20.10.2019;NL0741884107;Нет схемы;СХ3.5.2Q;0
20.10.2019;RU3101090115930;Нет схемы;ЯЗВАР.34;0
20.10.2019;RU3101090127955;Нет схемы;ЯЗВАР.3Q;0
21.10.2019;RU3101090119223;Нет схемы;ЯЗВАР.4Q;0
21.10.2019;RU3101090109147;Нет схемы;ЯЗВАР.4Q;0
21.10.2019;RU3101090117227;Нет схемы;ЯЗВАР.1Q;0
21.10.2019;RU3111005003615;Нет схемы;ЯЗВ+К.2Q;0
21.10.2019;RU3101150106558;Нет схемы;С3.41.2Q;0
22.10.2019;RU3110204110017;Нет схемы;ЯЗВАР.2Q;0
22.10.2019;RU3101090127955;Нет схемы;ЯЗВ+К.3Q;0
22.10.2019;RU3110204120458;Нет схемы;ЯЗВАР.2Q;0
22.10.2019;RU3101090117497;Нет схемы;ЯЗВАР.3Q;0
22.10.2019;RU3101090127843;Нет схемы;С3.42.4Q;0
22.10.2019;NL0869187535;Нет схемы;C3.41.3Q;0
23.10.2019;RU3101090119350;Нет схемы;ЯЗВАР.4Q;0
23.10.2019;RU3111005007079;Нет схемы;ЯЗВАР34Q;0
23.10.2019;NL0843140480;Нет схемы;ЯЗВАР.3Q;0
23.10.2019;RU3101050305025;Нет схемы;СХ3.523Q;0
23.10.2019;RU3110204130369;Нет схемы;ЯЗВАР.3Q;0
23.10.2019;NL0713748743;Нет схемы;ЯЗВАР.3Q;0
23.10.2019;NL0738324133;Нет схемы;ЯЗВАР.3Q;0
23.10.2019;RU3101090119285;Нет схемы;ЯЗВАР.3Q;0
24.10.2019;RU3101090109147;Нет схемы;ЯЗВАР34Q;0
24.10.2019;RU3101090127955;Нет схемы;ЯЗВАР.3Q;0
