Date;CowID;TraumaSchema;TraumaPrep;TraumaDays
25.10.2019;NL0922890020;Нет схемы;2Q;0
25.10.2019;RU3110204110001;Нет схемы;СХ3.7;0
26.10.2019;RU3101090128072;Нет схемы;СХ№3.6;0
26.10.2019;RU3101090125956;Нет схемы;СХ№3.6;0
27.10.2019;RU3101090128003;Нет схемы;СХ№3.6;0
28.10.2019;RU3101090126391;Нет схемы;СХ3.64К;0
29.10.2019;NL0751824492;Нет схемы;СПАЙКИ;0
29.10.2019;RU3101150173924;Нет схемы;ВЕН СВЯЗ;0
29.10.2019;NL0729023485;Нет схемы;ТР ВЫМЯ;0
30.10.2019;RU3101090128134;Нет схемы;СХ№3.6;0
01.11.2019;RU3101090128615;Нет схемы;СХ3.6;0
01.11.2019;RU3101090128072;Нет схемы;СХ№3.6;0
01.11.2019;RU3101090126481;Нет схемы;ТР ВЫМЯ;0
01.11.2019;RU3101090125956;Нет схемы;СХ№3.6;0
02.11.2019;RU3101090128255;Нет схемы;СХ№3.6;0
03.11.2019;RU3101090127052;Нет схемы;СХ№3.6;0
03.11.2019;RU3101090128130;Нет схемы;СХ№3.6;0
04.11.2019;RU3101090128134;Нет схемы;СХ№3.6;0
05.11.2019;RU3101090128252;Нет схемы;СХ№3.6;0
06.11.2019;RU3101090125823;Нет схемы;СХ№3.6;0
07.11.2019;RU3101090128255;Нет схемы;СХ№3.6;0
07.11.2019;RU3101090128152;Нет схемы;СХ№3.6;0
07.11.2019;RU3101090125823;Нет схемы;СХ№3.6;0
07.11.2019;RU3101090115985;Нет схемы;СХ№3.6;0
08.11.2019;RU3101090128230;Нет схемы;СХ№3.6;0
08.11.2019;RU3101090128187;Нет схемы;СХ№3.6;0
08.11.2019;RU3101090128130;Нет схемы;СХ№3.6;0
08.11.2019;RU3101090126481;Нет схемы;СХ№3.6;0
11.11.2019;RU3101090128221;Нет схемы;СХ№3.6;0
12.11.2019;RU3101090126770;Нет схемы;СХ№3.6;0
12.11.2019;RU3101090125823;Нет схемы;СХ№3.6;0
12.11.2019;RU3110204140794;Нет схемы;ТРГЛАЗА;0
12.11.2019;RU3101090128913;Нет схемы;СХ3.6;0
13.11.2019;RU3101090129129;Нет схемы;СХ3.6;0
13.11.2019;RU3101150103459;Нет схемы;СХ3.6;0
14.11.2019;RU3101090126481;Нет схемы;НОВООБР;0
14.11.2019;RU3101150108911;Нет схемы;СХ3.6;0
14.11.2019;RU3101150108957;Нет схемы;СХ3.6;0
14.11.2019;RU3101090128252;Нет схемы;НОВООБР;0
14.11.2019;RU3101090126730;Нет схемы;СХ№3.6;0
15.11.2019;RU3101100546878;Нет схемы;РАНА;0
15.11.2019;RU3101090128254;Нет схемы;СХ№3.6;0
16.11.2019;RU3101090128228;Нет схемы;СХ№3.6;0
16.11.2019;RU3101090128221;Нет схемы;СХ№3.6;0
17.11.2019;RU3111005007090;Нет схемы;СХ3.6;0
17.11.2019;RU3101090126770;Нет схемы;СХ№3.6;0
17.11.2019;RU3101090127284;Нет схемы;СХ№3.6;0
18.11.2019;RU3101150173874;Нет схемы;СХ№3.6;0
20.11.2019;RU3101090128252;Нет схемы;НОВООБР;0
20.11.2019;RU3101090128254;Нет схемы;СХ№3.6;0
20.11.2019;RU3101090125520;Нет схемы;СХ№3.6;0
20.11.2019;RU3101090125757;Нет схемы;СХ№3.6;0
21.11.2019;RU3101090128228;Нет схемы;СХ№3.6;0
22.11.2019;RU3101090126770;Нет схемы;СХ№3.6;0
22.11.2019;RU3101090119240;Нет схемы;СХ3.7;0
22.11.2019;RU3111005007090;Нет схемы;СХ3.6;0
22.11.2019;RU3101100546878;Нет схемы;СХ3.6;0
23.11.2019;RU3111005003539;Нет схемы;ТРСОСКА;0
25.11.2019;RU3101090119240;Нет схемы;СХ3.7;0
26.11.2019;NL0750354291;Нет схемы;ГЕМОР;0
26.11.2019;RU3101090128252;Нет схемы;СХ№3.6;0
26.11.2019;RU3101090128386;Нет схемы;СХ№3.6;0
28.11.2019;RU3101090128234;Нет схемы;СХ№3.6;0
29.11.2019;RU3101090124192;Нет схемы;СХ№3.6;0
01.12.2019;RU3101090126602;Схема №3.6 Рана;СХ№3.6;5
01.12.2019;RU3101090128386;Схема №3.6 Рана;СХ№3.6;5
05.12.2019;RU3101090127072;Схема №3.6 Рана;СХ№3.6;5
05.12.2019;NL0759496035;Схема №3.6 Рана;СХ3.6;5
06.12.2019;RU3101090117605;Схема №3.6 Рана;СХ№3.6;5
07.12.2019;RU3101090127436;Схема №3.6 Рана;СХ№3.6;5
08.12.2019;RU3101090128303;Схема №3.6 Рана;СХ№3.6;5
08.12.2019;RU3101090127209;Схема №3.6 Рана;СХ№3.6;5
09.12.2019;RU3101090128386;Схема №3.6 Рана;СПАЙКИ;5
11.12.2019;RU3101090128386;Схема №3.6 Рана;СХ№3.6;5
12.12.2019;RU3101100546878;Схема №3.6 Рана;СХ3.6;5
13.12.2019;RU3101090127209;Схема №3.6 Рана;СХ№3.6;5
13.12.2019;RU3101090128303;Схема №3.6 Рана;СХ№3.6;5
13.12.2019;RU3101090156400;Схема №3.6 Рана;СХ3.6;5
14.12.2019;RU3101090128416;Схема №3.6 Рана;СХ№3.6;5
14.12.2019;RU3111005017630;Схема №3.6 Рана;СХ3.6;5
16.12.2019;RU3101150108908;Схема №3.6 Рана;СХ3.64Q;5
16.12.2019;RU3101090126270;Схема №3.6 Рана;СХ№3.6;5
16.12.2019;RU3101090125922;Схема №3.6 Рана;СХ№3.6;5
18.12.2019;RU3101090128303;Схема №3.6 Рана;СХ№3.6;5
19.12.2019;RU3101090128416;Схема №3.6 Рана;СХ№3.6;5
19.12.2019;RU3101090128418;Схема №3.6 Рана;СХ№3.6;5
19.12.2019;RU3101090127384;Схема №3.6 Рана;СХ№3.6;5
20.12.2019;HU3353009344;Схема №3.6 Рана;ТР КРЕСТ;5
22.12.2019;RU3101090117605;Схема №3.6 Рана;РУБЦЫ;5
22.12.2019;RU3101150109890;Схема №3.6 Рана;ТРВЫМЕНИ;5
22.12.2019;US5347882719;Схема №3.6 Рана;НОВООБР;5
23.12.2019;RU3101090128303;Схема №3.6 Рана;СПАЙКИБР;5
25.12.2019;RU3101090117340;Схема №3.6 Рана;СХ№3.6;5
25.12.2019;RU3101090125535;Схема №3.6 Рана;СХ№3.6;5
25.12.2019;RU3101100546412;Схема №3.6 Рана;СХ3.6;5
27.12.2019;US5347882719;Схема №3.6 Рана;СХ№3.6;5
01.01.2020;RU3111005017161;Схема №3.6 Рана;СХ3.6БН;5
02.01.2020;RU3111005007265;Схема №3.6 Рана;АРТР;5
03.01.2020;RU3101090128175;Схема №3.6 Рана;СХ№3.6;5
03.01.2020;RU3101090124654;Схема №3.6 Рана;СХ№3.6;5
03.01.2020;RU3101090128295;Схема №3.6 Рана;СХ№3.6;5
04.01.2020;RU3111005007047;Схема №3.6 Рана;РАЗПОЛПУ;5
05.01.2020;RU3101090128251;Схема №3.6 Рана;СХ№3.6;5
06.01.2020;RU3101090126903;Схема №3.6 Рана;СХ№3.6;5
06.01.2020;RU3111005017198;Схема №3.7 Растяжение;СХ3.73.6;3
08.01.2020;NL9372039803;Нет схемы;СХ3.64К;0
08.01.2020;NL0621122646;Схема №3.6 Рана;СХ3.6;5
09.01.2020;US5347882719;Схема №3.6 Рана;СХ№3.6;5
09.01.2020;RU3111005017198;Схема №3.6 Рана;СХ3.6;5
10.01.2020;RU3101090127100;Схема №3.6 Рана;СХ№3.6;5
10.01.2020;RU3101090128251;Схема №3.6 Рана;СХ№3.6;5
10.01.2020;NL0673232238;Схема №3.6 Рана;СХ3.6;5
11.01.2020;RU3101150175738;Схема №3.6 Рана;СХ№3.6;5
11.01.2020;RU3101090124877;Схема №3.6 Рана;СХ№3.6;5
11.01.2020;RU3101090128360;Схема №3.6 Рана;СХ№3.6;5
11.01.2020;RU3110204140923;Схема №3.7 Растяжение;СХ3.7;3
11.01.2020;RU3110204140840;Схема №3.6 Рана;СХ3.6;5
11.01.2020;NL0730004996;Схема №3.6 Рана;СХ3.6;5
12.01.2020;RU3101090126014;Схема №3.6 Рана;СХ№3.6;5
12.01.2020;RU3101090125919;Схема №3.6 Рана;СХ№3.6;5
13.01.2020;RU3101090125919;Схема №3.6 Рана;СХ№3.6;5
13.01.2020;RU3101090126014;Схема №3.6 Рана;СХ№3.6;5
13.01.2020;NL0621122646;Схема №3.6 Рана;СХ3.6;5
15.01.2020;RU3111005007668;Схема №3.6 Рана;АТРОФИЯ;5
15.01.2020;RU3101090127100;Схема №3.6 Рана;СХ№3.6;5
16.01.2020;RU3101150175738;Схема №3.6 Рана;СХ№3.6;5
17.01.2020;RU3111005017010;Схема №3.6 Рана;СХ3.6;5
17.01.2020;RU3101090128438;Схема №3.6 Рана;СХ№3.6;5
17.01.2020;RU3101090125928;Схема №3.6 Рана;СХ№3.6;5
18.01.2020;RU3111005007550;Схема №3.6 Рана;ГЕМОРНет схемыЙ;5
19.01.2020;RU3101090124905;Схема №3.6 Рана;СХ№3.6;5
20.01.2020;NL0694346055;Схема №3.6 Рана;СХ3.6;5
21.01.2020;RU3101090120152;Нет схемы;СХ3.63К;0
22.01.2020;NL0687402100;Схема №3.6 Рана;СХ3.6;5
22.01.2020;RU3111005017010;Схема №3.6 Рана;СХ3.6;5
22.01.2020;RU3101090127268;Схема №3.6 Рана;СХ№3.6;5
25.01.2020;NL0677811310;Схема №3.6 Рана;АБСЦЕСС;5
26.01.2020;NL0682539580;Схема №3.6 Рана;СХ3.6;5
26.01.2020;RU3101090119241;Схема №3.6 Рана;СХ№3.6;5
27.01.2020;RU3111005048418;Схема №3.6 Рана;СХ3.6БНП;5
27.01.2020;RU3101090128347;Схема №3.6 Рана;СХ№3.6;5
27.01.2020;RU3101090127268;Схема №3.6 Рана;СХ№3.6;5
28.01.2020;NL0639881700;Схема №3.6 Рана;АТРОФ3Q;5
29.01.2020;RU3101090125369;Схема №3.6 Рана;СХ№3.6;5
29.01.2020;RU3101090128288;Схема №3.6 Рана;СХ№3.6;5
30.01.2020;RU3101090118623;Схема №3.6 Рана;СХ3.6;5
30.01.2020;RU3101100502621;Схема №3.6 Рана;СХ3.6;5
30.01.2020;RU3101090127209;Нет схемы;СХ3.63К;0
31.01.2020;RU3111005048372;Схема №3.6 Рана;СХ3.6ПНБ;5
31.01.2020;RU3101090129625;Схема №3.6 Рана;СХ3.6;5
31.01.2020;RU3101090126192;Схема №3.6 Рана;СХ№3.6;5
31.01.2020;RU3101090127209;Схема №3.6 Рана;3ДОЛЯ;5
01.02.2020;RU3101090129813;Схема №3.7 Растяжение;СХ3.7;3
01.02.2020;HU3353009344;Схема №3.6 Рана;ТР КРЕСТ;5
01.02.2020;RU3111005007298;Схема №3.6 Рана;СВИЩ3Q;5
02.02.2020;RU3101090128394;Схема №3.6 Рана;СХ№3.6;5
03.02.2020;RU3101150108864;Схема №3.6 Рана;СПКРМ;5
03.02.2020;DE0360296689;Схема №3.6 Рана;СХ3.6;5
03.02.2020;DE0360180694;Схема №3.6 Рана;ТР.ГЛ.;5
04.02.2020;RU3101090124669;Схема №3.6 Рана;АБСЦВСКР;5
04.02.2020;NL0682539580;Схема №3.6 Рана;СХ3.6;5
05.02.2020;RU3111005048372;Схема №3.6 Рана;СХ3.6;5
05.02.2020;RU3101090126192;Схема №3.6 Рана;СХ№3.6;5
05.02.2020;NL0576823120;Схема №3.6 Рана;СХ3.6;5
07.02.2020;RU3111005048382;Схема №3.6 Рана;СХ3.6ПНБ;5
07.02.2020;RU3101090128399;Схема №3.6 Рана;СХ№3.6;5
07.02.2020;RU3101090128608;Схема №3.6 Рана;СХ№3.6;5
08.02.2020;RU3111005017630;Схема №3.6 Рана;СХ3.6О+Д;5
08.02.2020;RU3101090125937;Схема №3.6 Рана;СХ№3.6;5
08.02.2020;HU3353009344;Схема №3.6 Рана;СХ3.6;5
08.02.2020;DE0360180694;Схема №3.6 Рана;ТРГЛАЗА;5
09.02.2020;RU3111005007152;Схема №3.6 Рана;ГЕМОРНет схемыЙ;5
10.02.2020;RU3111005048372;Схема №3.6 Рана;СХ3.6;5
10.02.2020;RU3101050305025;Схема №3.6 Рана;НОВООБР;5
10.02.2020;NL0694346055;Схема №3.6 Рана;АТРОФ;5
10.02.2020;RU3111005017092;Схема №3.6 Рана;СХ3.6;5
11.02.2020;RU3101090156406;Схема №3.6 Рана;АБСЦЕСС;5
11.02.2020;RU3111005016768;Схема №3.6 Рана;СХ3.6ПНБ;5
11.02.2020;RU3101090119007;Схема №3.6 Рана;СХ№3.6;5
12.02.2020;RU3101150173833;Схема №3.6 Рана;СХ№3.6;5
12.02.2020;RU3101090119203;Схема №3.6 Рана;СХ№3.6;5
13.02.2020;RU3101090117932;Схема №3.6 Рана;ТРАВМВЫМ;5
13.02.2020;RU3111005017630;Схема №3.6 Рана;СХ3.6Б;5
13.02.2020;NL0598203010;Схема №3.6 Рана;СХ3.6;5
13.02.2020;NL0598475176;Схема №3.6 Рана;СХ3.6;5
14.02.2020;RU3111005046120;Схема №3.6 Рана;СХ3.6О+Д;5
14.02.2020;NL0866844310;Схема №3.6 Рана;СХ3.6;5
14.02.2020;DE0360180694;Схема №3.6 Рана;КОНЬЮКТ;5
15.02.2020;NL0564707230;Схема №3.6 Рана;ГЕМОРНет схемыЙ;5
15.02.2020;NL0668993298;Схема №3.6 Рана;АТРОФ;5
15.02.2020;NL0562221473;Схема №3.6 Рана;СХ3.6;5
15.02.2020;RU3111005017193;Схема №3.6 Рана;СХ3.6;5
16.02.2020;NL0654951655;Схема №3.6 Рана;СХ3.6;5
17.02.2020;RU3111005007668;Схема №3.6 Рана;ГАЛАКТИЯ;5
17.02.2020;NL0668706968;Схема №3.6 Рана;СХ3.6;5
18.02.2020;NL0738324133;Схема №3.6 Рана;АГАЛАКТ;5
18.02.2020;NL0654951578;Схема №3.6 Рана;СХ3.6;5
19.02.2020;RU3111005046120;Схема №3.6 Рана;СХ3.6БЕН;5
19.02.2020;NL0598475176;Схема №3.6 Рана;СХ3.6;5
20.02.2020;NL0668993298;Схема №3.6 Рана;СХ3.63Q;5
20.02.2020;DE1603820318;Схема №3.6 Рана;СХ3.6;5
21.02.2020;RU3110204120774;Схема №3.6 Рана;СХ3.6;5
21.02.2020;NL0562221473;Схема №3.6 Рана;СХ3.6;5
22.02.2020;RU3101090128471;Схема №3.6 Рана;СХ№3.6;5
22.02.2020;DE0360718327;Схема №3.6 Рана;СХ3.6;5
22.02.2020;NL0733413380;Схема №3.6 Рана;СХ3.6;5
22.02.2020;DE0360642869;Схема №3.6 Рана;СХ3.6;5
22.02.2020;RU3111005017193;Схема №3.6 Рана;СХ3.6;5
22.02.2020;NL0660830409;Схема №3.6 Рана;АТРОФИЯ;5
22.02.2020;NL0564707230;Схема №3.6 Рана;ГЕМОРНет схемыЙ;5
23.02.2020;RU3111005007412;Схема №3.6 Рана;АТРОФИЯ;5
23.02.2020;NL0932547718;Схема №3.6 Рана;СХ3.6;5
24.02.2020;RU3111005007152;Схема №3.6 Рана;АТРОФИЯ;5
25.02.2020;RU3101090118811;Схема №3.6 Рана;СХ№3.6;5
26.02.2020;RU3101050300798;Схема №3.6 Рана;СХ№3.6;5
26.02.2020;RU3110204120774;Схема №3.6 Рана;СХ3.6;5
26.02.2020;RU3111005048382;Схема №3.6 Рана;СХ3.6ОКС;5
26.02.2020;RU3111005046185;Схема №3.6 Рана;СХ3.6ОКС;5
26.02.2020;RU3111005046120;Схема №3.6 Рана;АМОКС+К;5
26.02.2020;RU3111005017887;Схема №3.7 Растяжение;СХ3.7ДЕФ;3
26.02.2020;RU3111005007426;Схема №3.6 Рана;4Q АТР;5
26.02.2020;DE0360126249;Схема №3.6 Рана;СХ3.6;5
29.02.2020;RU3101090126106;Схема №3.6 Рана;СХ№3.6;5
29.02.2020;RU3101090126226;Схема №3.6 Рана;СХ№3.6;5
29.02.2020;RU3101090129492;Схема №3.6 Рана;РАНА;5
29.02.2020;RU3111005046294;Схема №3.6 Рана;ПНБ;5
29.02.2020;RU3111005046036;Схема №3.6 Рана;ПНБ;5
29.02.2020;RU3111005017887;Схема №3.7 Растяжение;СХ3.7ДЕФ;3
29.02.2020;RU3111005046068;Схема №3.6 Рана;ОКСИВ;5
01.03.2020;RU3101090127669;Схема №3.6 Рана;СХ№3.6;5
01.03.2020;RU3101090126378;Схема №3.6 Рана;СХ№3.6;5
01.03.2020;RU3101090127393;Схема №3.6 Рана;СХ№3.6;5
01.03.2020;RU3101090127456;Схема №3.6 Рана;СХ№3.6;5
01.03.2020;RU3101090118811;Схема №3.6 Рана;СХ№3.6;5
01.03.2020;RU3111005017002;Схема №3.6 Рана;ИХТИОЛ;5
02.03.2020;RU3101150173924;Нет схемы;СХ3.6К;0
02.03.2020;RU3111005046185;Схема №3.6 Рана;СХ3.6;5
03.03.2020;RU3101090127171;Схема №3.6 Рана;СХ№3.6;5
03.03.2020;RU3101090119143;Схема №3.6 Рана;СХ№3.6;5
04.03.2020;RU3101090120884;Схема №3.6 Рана;РАНАВЕКО;5
04.03.2020;RU3110204121265;Схема №3.6 Рана;ВУЛЬВ;5
05.03.2020;RU3101150166558;Нет схемы;СХ3.6К;0
05.03.2020;RU3101100548630;Схема №3.6 Рана;СХ3.6ОКС;5
05.03.2020;RU3111005046068;Схема №3.6 Рана;СХ3.6БЕН;5
05.03.2020;RU3111005046036;Схема №3.6 Рана;ОКСИВ;5
05.03.2020;RU3111005046294;Схема №3.6 Рана;СХ3.6ЦЕФ;5
05.03.2020;RU3111005017138;Схема №3.6 Рана;ТРВУЛВ;5
06.03.2020;RU3110204140568;Схема №3.6 Рана;СХ3.6;5
06.03.2020;RU3110204130429;Схема №3.6 Рана;КРОВЬ ОХ;5
06.03.2020;RU3111005017002;Схема №3.6 Рана;СХ3.6;5
06.03.2020;DE0360126249;Схема №3.6 Рана;СХ3.6;5
07.03.2020;RU3101150173924;Нет схемы;СХ3.6К;0
07.03.2020;RU3111005046185;Схема №3.6 Рана;СХ3.6КБК;5
08.03.2020;HU3353009344;Схема №3.6 Рана;АБСЦТАЗА;5
08.03.2020;NL0598730051;Схема №3.6 Рана;СХ3.6;5
08.03.2020;NL0564707230;Схема №3.6 Рана;АГАЛАКТИ;5
09.03.2020;NL0679516570;Схема №3.6 Рана;СХ3.6;5
10.03.2020;RU3111005046036;Схема №3.6 Рана;СХ3.6;5
10.03.2020;RU3111005046068;Схема №3.6 Рана;СХ3.6;5
10.03.2020;RU3101100548630;Схема №3.6 Рана;СХ3.6;5
11.03.2020;RU3101090128233;Схема №3.6 Рана;СХ№3.6;5
11.03.2020;NL0668993298;Схема №3.6 Рана;АТР;5
12.03.2020;RU3101150173924;Нет схемы;СХ3.6К;0
13.03.2020;RU3111005017286;Схема №3.6 Рана;СХ3.6;5
14.03.2020;RU3101051003423;Схема №3.6 Рана;ГЕМОР;5
15.03.2020;RU3110204121689;Схема №3.6 Рана;СХ3.6;5
15.03.2020;DE1405715686;Схема №3.6 Рана;ТРПРЯКИШ;5
15.03.2020;DE0360297165;Схема №3.6 Рана;СХ3.6;5
15.03.2020;RU3111005003293;Схема №3.6 Рана;АТРОФ4Q;5
17.03.2020;RU3110204130792;Схема №3.6 Рана;СХ3.6;5
17.03.2020;RU3110204140584;Схема №3.6 Рана;СХ3.6;5
17.03.2020;NL0895960171;Схема №3.6 Рана;АТРОФ;5
18.03.2020;RU3101100516325;Схема №3.6 Рана;ТР ВУЛЬВ;5
18.03.2020;RU3110204130785;Схема №3.7 Растяжение;СХ3.7;3
20.03.2020;NL0665517280;Схема №3.6 Рана;2QАТРОФ;5
21.03.2020;RU3110204130785;Нет схемы;ТР ВУЛЬВ;0
23.03.2020;RU3110204121580;Схема №3.6 Рана;СХ3.6;5
24.03.2020;DE0360531151;Схема №3.6 Рана;CX3.6;5
24.03.2020;NL0679516570;Схема №3.6 Рана;СХ3.6;5
25.03.2020;RU3101090127999;Схема №3.6 Рана;БРАК;5
25.03.2020;RU3101100516325;Схема №3.6 Рана;СХ3.6;5
25.03.2020;NL0597694198;Схема №3.6 Рана;CX3.6;5
25.03.2020;DE0360731555;Схема №3.6 Рана;CX3.6;5
26.03.2020;RU3110204130785;Схема №3.6 Рана;СХ3.6;5
26.03.2020;RU3111005017198;Схема №3.6 Рана;CX3.6;5
26.03.2020;RU3101150166558;Схема №3.6 Рана;СХ3.6;5
27.03.2020;NL0668993298;Схема №3.6 Рана;АГАДАК;5
27.03.2020;NL0665517280;Схема №3.6 Рана;АТР;5
28.03.2020;RU3110204121784;Нет схемы;ТР ВУЛЬВ;0
28.03.2020;RU3111005017157;Схема №3.6 Рана;CX3.6;5
28.03.2020;DE0360736987;Схема №3.6 Рана;CX3.6;5
28.03.2020;RU3111005017420;Схема №3.6 Рана;CX3.6;5
28.03.2020;DE0360893374;Схема №3.6 Рана;CX3.6;5
29.03.2020;DE0360063641;Схема №3.6 Рана;CX3.6;5
30.03.2020;RU3110204122421;Схема №3.6 Рана;КБК;5
30.03.2020;DE0359960513;Схема №3.6 Рана;CX3.6;5
31.03.2020;RU3110204130223;Схема №3.6 Рана;СХ3.6;5
02.04.2020;DE0360778425;Схема №3.7 Растяжение;СХ3.7;3
02.04.2020;RU3101051003423;Схема №3.6 Рана;АТРОФ;5
03.04.2020;RU3111005048342;Схема №3.6 Рана;СХ3.6;5
03.04.2020;RU3111005017161;Схема №3.6 Рана;CX3.6;5
